test,intuition_ms,eprover_ms,intuition_result,eprover_result,speedup
dobry-1.p,1.000,103.000,PROVED,PROVED,103.00
dobry-2.p,1.000,103.600,PROVED,PROVED,103.60
dobry-4.p,1.200,102.800,PROVED,PROVED,85.66
dobry-5.p,1.000,102.800,PROVED,PROVED,102.80
dobry-6.p,1.000,103.200,PROVED,PROVED,103.20
dobry-involved_id.p,1.200,103.000,PROVED,PROVED,85.83
dobry-k.p,1.000,102.400,PROVED,PROVED,102.40
dobry-piaty.p,1.200,102.600,PROVED,PROVED,85.50
dobry-remover.p,1.200,102.800,PROVED,PROVED,85.66
dobry-s.p,1.200,103.000,PROVED,PROVED,85.83
zly-1.p,1.000,103.200,DISPROVED,PROVED,103.20
zly-2.p,1.000,103.000,DISPROVED,PROVED,103.00
zly-3.p,1.000,102.800,DISPROVED,PROVED,102.80
zly-4.p,1.400,102.400,DISPROVED,PROVED,73.14
zly-5.p,1.200,102.400,ERROR,PROVED,85.33
